♥9♦5♥8♠7♣6|Straight
♥9♥3♦0♠J♥J|Pair
♥9♥3♦5♠J♥J|Pair
♥9♦0♦5♠J♥J|Pair
♥3♦0♦5♠J♥J|Pair
♥9♥3♥8♠J♥J|Pair
♥9♦0♥8♠J♥J|Pair
♥3♦0♥8♠J♥J|Pair
♥9♦5♥8♠J♥J|Pair
♥3♦5♥8♠J♥J|Pair
♦0♦5♥8♠J♥J|Pair
♥9♥3♠J♠2♥J|Pair
♥9♦0♠J♠2♥J|Pair
♥3♦0♠J♠2♥J|Pair
♥9♦5♠J♠2♥J|Pair
♥3♦5♠J♠2♥J|Pair
♦0♦5♠J♠2♥J|Pair
♥9♥8♠J♠2♥J|Pair
♥3♥8♠J♠2♥J|Pair
♦0♥8♠J♠2♥J|Pair
♦5♥8♠J♠2♥J|Pair
♥9♥3♠J♠7♥J|Pair
♥9♦0♠J♠7♥J|Pair
♥3♦0♠J♠7♥J|Pair
♥9♦5♠J♠7♥J|Pair
♥3♦5♠J♠7♥J|Pair
♦0♦5♠J♠7♥J|Pair
♥9♥8♠J♠7♥J|Pair
♥3♥8♠J♠7♥J|Pair
♦0♥8♠J♠7♥J|Pair
♦5♥8♠J♠7♥J|Pair
♥9♠J♠2♠7♥J|Pair
♥3♠J♠2♠7♥J|Pair
♦0♠J♠2♠7♥J|Pair
♦5♠J♠2♠7♥J|Pair
♥8♠J♠2♠7♥J|Pair
♥9♥3♠J♣6♥J|Pair
♥9♦0♠J♣6♥J|Pair
♥3♦0♠J♣6♥J|Pair
♥9♦5♠J♣6♥J|Pair
♥3♦5♠J♣6♥J|Pair
♦0♦5♠J♣6♥J|Pair
♥9♥8♠J♣6♥J|Pair
♥3♥8♠J♣6♥J|Pair
♦0♥8♠J♣6♥J|Pair
♦5♥8♠J♣6♥J|Pair
♥9♠J♠2♣6♥J|Pair
♥3♠J♠2♣6♥J|Pair
♦0♠J♠2♣6♥J|Pair
♦5♠J♠2♣6♥J|Pair
♥8♠J♠2♣6♥J|Pair
♥9♠J♠7♣6♥J|Pair
♥3♠J♠7♣6♥J|Pair
♦0♠J♠7♣6♥J|Pair
♦5♠J♠7♣6♥J|Pair
♥8♠J♠7♣6♥J|Pair
♠J♠2♠7♣6♥J|Pair
